ID,Top,Jungle,Mid,Bot,Support,Enemy Top,Enemy Jungle,Enemy Mid,Enemy Bot,Enemy Support,Team Gold,Team Kills,Team Deaths,Dragons,Dragon Soul,Baron,Rift Herald,First tower,First Kill,Team Total CC,Victory
EUW1_6240658438,KSante,Maokai,Taliyah,Varus,Nami,Tryndamere,Belveth,Sylas,Lucian,Leona,46480,21,16,1,False,0,1,True,False,154,False
EUW1_6240658438,Tryndamere,Belveth,Sylas,Lucian,Leona,KSante,Maokai,Taliyah,Varus,Nami,48775,16,21,2,False,1,1,False,True,92,True
EUW1_6240663645,Renekton,Elise,Yasuo,Ezreal,Leona,Olaf,Sylas,Belveth,Samira,Nautilus,55910,27,32,0,False,1,2,True,False,123,False
EUW1_6240663645,Olaf,Sylas,Belveth,Samira,Nautilus,Renekton,Elise,Yasuo,Ezreal,Leona,60655,32,27,3,False,1,0,False,True,117,True
EUW1_6240678547,Camille,Sylas,Gangplank,Varus,Karma,Aatrox,Maokai,Yone,Ezreal,Heimerdinger,43900,30,10,1,False,0,2,True,False,80,True
EUW1_6240678547,Aatrox,Maokai,Yone,Ezreal,Heimerdinger,Camille,Sylas,Gangplank,Varus,Karma,29743,10,30,0,False,0,0,False,True,76,False
EUW1_6240711057,Olaf,Elise,Azir,Zeri,Ashe,Gangplank,Nidalee,Ryze,Varus,Thresh,29735,19,9,1,False,0,2,True,True,57,True
EUW1_6240711057,Gangplank,Nidalee,Ryze,Varus,Thresh,Olaf,Elise,Azir,Zeri,Ashe,25600,9,19,0,False,0,0,False,False,37,False
EUW1_6240725909,Jax,Maokai,Viktor,Ezreal,Pyke,Gangplank,Zac,Akali,Varus,Janna,46983,13,28,1,False,0,1,False,True,91,False
EUW1_6240725909,Gangplank,Zac,Akali,Varus,Janna,Jax,Maokai,Viktor,Ezreal,Pyke,54050,28,13,3,False,1,1,True,False,97,True
EUW1_6240761646,Renekton,Evelynn,Yone,Kaisa,Leona,Warwick,Kayn,TwistedFate,Varus,Heimerdinger,58010,37,43,0,False,0,1,True,True,80,False
EUW1_6240761646,Warwick,Kayn,TwistedFate,Varus,Heimerdinger,Renekton,Evelynn,Yone,Kaisa,Leona,57910,43,37,4,True,1,0,False,False,147,True
EUW1_6240792718,Akali,JarvanIV,Yasuo,Draven,Pyke,Irelia,Maokai,Gangplank,Tristana,Nautilus,52675,33,21,3,False,0,1,True,True,67,True
EUW1_6240792718,Irelia,Maokai,Gangplank,Tristana,Nautilus,Akali,JarvanIV,Yasuo,Draven,Pyke,50135,21,33,1,False,1,0,False,False,151,False
EUW1_6240822227,Sejuani,Ivern,Yone,Samira,Alistar,Fiora,MonkeyKing,Kassadin,Varus,Thresh,40735,12,14,2,False,0,0,True,True,116,False
EUW1_6240822227,Fiora,MonkeyKing,Kassadin,Varus,Thresh,Sejuani,Ivern,Yone,Samira,Alistar,43700,14,12,1,False,1,2,False,False,66,True
EUW1_6240843294,Olaf,Diana,Singed,Lucian,Nami,Fiora,Hecarim,Nunu,Jhin,Bard,54485,34,18,3,False,1,1,True,False,81,True
EUW1_6240843294,Fiora,Hecarim,Nunu,Jhin,Bard,Olaf,Diana,Singed,Lucian,Nami,41350,18,34,1,False,0,1,False,True,127,False
EUW1_6240849572,Warwick,Zac,Kassadin,Tristana,Taric,Rumble,MonkeyKing,Renekton,Seraphine,Neeko,27100,14,6,2,False,0,1,True,True,56,True
EUW1_6240849572,Rumble,MonkeyKing,Renekton,Seraphine,Neeko,Warwick,Zac,Kassadin,Tristana,Taric,23685,6,14,0,False,0,0,False,False,47,False
EUW1_6240852150,Fiora,RekSai,TwistedFate,Seraphine,Heimerdinger,Jax,Sylas,Rumble,Lucian,Nami,49725,28,17,1,False,1,2,True,True,138,True
EUW1_6240852150,Jax,Sylas,Rumble,Lucian,Nami,Fiora,RekSai,TwistedFate,Seraphine,Heimerdinger,46875,17,28,2,False,0,0,False,False,66,False
EUW1_6240869051,Pantheon,RekSai,Sylas,Kaisa,Thresh,Vladimir,Elise,Sett,Zeri,Yuumi,64275,37,28,3,False,1,2,True,False,101,True
EUW1_6240869051,Vladimir,Elise,Sett,Zeri,Yuumi,Pantheon,RekSai,Sylas,Kaisa,Thresh,53045,28,37,1,False,0,0,False,True,87,False
EUW1_6240882046,Olaf,RekSai,Galio,Kaisa,Pyke,Vladimir,Rengar,Zoe,Xayah,Ashe,31610,10,16,1,False,0,0,False,True,27,False
EUW1_6240882046,Vladimir,Rengar,Zoe,Xayah,Ashe,Olaf,RekSai,Galio,Kaisa,Pyke,36175,16,10,1,False,0,1,True,False,70,True
